discussion_title,discussion_link,discussion
what are your thoughts on Accutane? is this severe acne?,https://patient.info/forums/discuss/what-are-your-thoughts-on-accutane-is-this-severe-acne--729309,"I never used to suffer from severe acne like this as far as I can remember. I did get bad acne as a teenager but not red, cystic bunches like this. For several months I've had on and off pimples or whiteheads, mostly being on my face. But now they are nodular and recently came in lumps especially on my neck. Most of my acne is on my face and neck but I get it on my shoulders and upper arms too.It did start to happen when I was running into financial difficulty looking for work, working a stressful job and thinking about rent payments. I suppose the cause is emotional. I'm feeling better but the acne keeps coming back.My dermatologist suggested me to try Lymecycline antibiotic. I took the whole course but it didn't clear my acne. He then suggested I try Accutane on a low dose after noticing my lumps (not from these pictures though) I recently gave up a blood sample for it and seeing him mid March. I am nervous taking such a drug because of the reported effects and my eczema which has been better recently. My dermatologist really rushes through appointments and I'm unable to get very detailed responses from him, probably as he's always really busy.Do you think its worth taking Accutane for cystic, tender acne like such? Or should I make a GP appointment to get another professional opinion?"
How to fix post-acne marks,https://patient.info/forums/discuss/how-to-fix-post-acne-marks-728775,"Hello everyone, 23yo male here. I used to have big acne problems as a teenager and im wondering if there is way to fix the marked landscape left behind. Please only comment if you are a medical professional. Thank you"
What Could This Rash Be?,https://patient.info/forums/discuss/what-could-this-rash-be--728256,"It used to itch a little bit when I was starting to notice it months ago. This never happened before but it's never gone away and it's progressively getting worse. Now it doesn't itch at all but has definitely gotten both bigger in size, not just overall radius, and has a brighter redness to it now as well. Yes I use soap and I scrub myself.I hope this isn't anything to worry about although for being married a year and a half and now this comes right out of the blue just after a couple suspicious behaviours are brought out from my wife, I do hope that this isn't meaning she's cheating such as with contracting an STD and then sharing it with me but as with no strong reason for suspicion as of yet, I still don't know if she is. I am hoping she is being honest but this does have me concerned about my health. (Pics below).Also, we are both 24 years old, this rash or whatever it is has only shown up on my butt and I have fairly good hygiene. My underwear is breathable and I never wear the same pair the next day. I'm shocked thinking about it considering my family goes my entirely different standards.Thanks in advance"
What causes acne in this area?,https://patient.info/forums/discuss/what-causes-acne-in-this-area--725869,i have never had a problem with acne. im 25 and im constantly getting acne on my jaw line and near my lips but not on my lips. does anyone know what could cause this? my diet hasnt changed. 
Getting spots after shaving with trimmer,https://patient.info/forums/discuss/getting-spots-after-shaving-with-trimmer-720588,"so i get spots if i shave with a razor and i can understand why. but its been many years that i am shaving with trimmer and yet i get spots!i have severe keratosis pilaris on my arms and i guess hey are on my face too because my face is very bumpy and every pore is blocked. i tried many ways suggested by here and many other places for unblocking pores, exfoliating and many more but they didn't help.also the hair on my face (full face, beard and everywhere else) comes off when i grip on it by nails. its like 1 hair is ok but another tiny hair is stuck on to the side of the other one, and that's what comes off.i see ppl shaving in the morning and leaving off to work but when i shave i have to go shower and wash my face a thousand times because those tiny hairs that get cut by the trimmers get very itchy so i cant say i left it on my face and caused a spot.any help? im just so tired of this situation"
HELP. What are these bumps on my butt?,https://patient.info/forums/discuss/help-what-are-these-bumps-on-my-butt--715638,i was getting itchy on my butt cheek and been itching and not sure what these bumps are.
Chest and back acne,https://patient.info/forums/discuss/chest-and-back-acne-718714,I started suffering from chest and back acne from about the age of 39. I'm now 41 and am still suffering. Have tried many over the counter treatments and keep my skin as clean as possible. It really affects my self confidence! Any advice would be appreciated. Thanks
Is this Pilonidal sinus or something else?,https://patient.info/forums/discuss/is-this-pilonidal-sinus-or-something-else--720882,"Hello,Hope I post in the right place...(Pictures)https://www.dropbox.com/s/4xqfeyqviv26h09/79308007_456553608333211_1535580902879395840_n.jpg?dl=0https://www.dropbox.com/s/vl0fxwpwwa2rtt6/79107815_556636441834155_5880687737287213056_n.jpg?dl=0If anyone could help me it would be great. I have been to the doctors for this and they told me it was pilonidal sinus and that the only solution for this is surgery and it’s not 100% guaranteed that the problem will go away (Chance of it coming back).I am getting these spots/holes every week in the same area. The red spot/lump is on my right bum cheek right at the top where my ass crack starts (sorry for the language). It happens every week and it is always bursting with blood and blood clots.Then I have 3 holes on my ass crack near the top which is always giving out sticky pus and blood. I don’t know If it is related but my lower back is hurting very badly and so are my muscles in general. Can someone tell me exactly what it is and tell me some solution for this other than surgery. I would do surgery but the doctor says it’s not 100% guaranteed solution as they can always come back therefore I am looking for some other solution like maybe some anti-biotic or cream etc.Thank you."
What’s causing my chin to look like this?,https://patient.info/forums/discuss/what-s-causing-my-chin-to-look-like-this--719908,i've had pretty much clear skin since january but about 2 weeks after moving to university my chin started looking like this? ive googled it and was thinking it could be perioral demermatitis but im not sure because thats normally caused me steroids? however i have been using a new toothpaste while at uni which could maybe have caused it? anyone know why this had happened and how i can treat it?
spironolactone,https://patient.info/forums/discuss/spironolactone-718913,anyone been on this for cystic acne? derm put me on it and was wondering if it works side effects etc ... my blood pressure is always on lower side so wats the risks ? does this cause cancer ?
Lymecycline - does it work?,https://patient.info/forums/discuss/lymecycline-does-it-work--717433,I'm 25 and always had fairly clear skin but about a year ago startes getting a few spots. As they began to get worse i started trying over the counter treatments but nothing worked. Saw a dermatologist a few months ago and she suggested a new skin regime but nothing has worked. Tried epiduo and duac and have now been given lymecycline to try as my skin is the worst it has ever been. It appears to get better for a few days then breaks out even worse. Has anyone had experiences with lymecycline or similar experiences and has any advice? Got to the point where I wont leave the house.
Anyone have solution for acne and pimples?,https://patient.info/forums/discuss/anyone-have-solution-for-acne-and-pimples--692167,"I have severe acne on my face from last 6 months. Even after consulting dermatologist, I'm not getting results. Can anyone have any solution?"
Pink Skin Under Scab? Does it go away?,https://patient.info/forums/discuss/pink-skin-under-scab-does-it-go-away--717591,I made a huge mistake by picking at a black head and now the skin underneath has turned pink. Does it eventually fade away & turn back to my natural skin complexion?I’m also a fashion blogger so this is a huge inconvenience but I’ll be fine lol.
Small pimple like bump on top of the eyelid,https://patient.info/forums/discuss/small-pimple-like-bump-on-top-of-the-eyelid-715510,Does anyone know what exactly this thing is? on top of my eyelid. it does not hurt nor discharge any fluid. 
Is this acne?,https://patient.info/forums/discuss/is-this-acne--714897,Is the acne?
Is this acne?,https://patient.info/forums/discuss/is-this-acne--714896,Is the acne?
Why am I still getting acne?,https://patient.info/forums/discuss/why-am-i-still-getting-acne--714632,"Hi everyone,I'm a 19-year-old male and I've been struggling with acne since I was about 16. When I was in high school, I used to get cystic acne on my checks and chin and papules on my forehead and cheeks, and whiteheads on my lips and nose FREQUENTLY. There was always at least one or two noticeable pimples on my face at all times. In the summer before leaving for college I broke out tremendously. I didnt want to leave the house. As the first week or two of college passed, I started growing a beard, which made me happy because it hid the acne very well. I guess it took the attention off of it. I noticed my acne to be less frequent and severe but still had some here and there. Fast forward to today, Im starting to break out more and more. Ive changed a lot about my routines. Ive started taking multivitamins (without iodine and low biotin), zinc, and fish oils, Ive cut out dairy from my diet, I try to drink as much water as possible, I exercise, I wash and change my pillow cases more often, I wash my beard,, but im getting more and more acne than i did before.Im just sick of seeing my face look gross while everyone is enjoying flawless skin. I just dont understand what im doing wrong."
I have a zit like bump near my groin,https://patient.info/forums/discuss/i-have-a-zit-like-bump-near-my-groin-714153,"i first noticed it a month ago. ever since it has continued to grow. its making it very hard to walk around a lot. the skin on top is soft, but whatever is underneath has hardened. before it was more fluid. what should i do. Uploading file..."
How to continue isotretinoin in England?,https://patient.info/forums/discuss/how-to-continue-isotretinoin-in-england--713565,"Hello,I'll explain my problem to you. I am French and I will move to England in a month.I have been on Roaccutane treatment for a month now, my French doctor wants me to come back to France every month to show him my negative pregnancy test so that he can refill my isotretinoin prescription.As I am moving to England, I asked him if it was possible for me to send him my negative pregnancy test by email and he would send me my prescription every month by email, or, alternatively, he would contact a doctor in England to do my follow-up, but my French dermatologist does not want to know anything and wants me to be there every month.For financial reasons, I will not be able to pay for a France - England flight ticket once a month.I would like to know how I could manage to continue my treatment with an English doctor.Is it possible to go to a general practitioner and tell him that I am currently on treatment and ask him to take over, or is it necessary to go to a dermatologist?I really need an answer because it's very important to me and I don't know who to talk to.Thank you in advance"
Skin Problems,https://patient.info/forums/discuss/skin-problems-712598,"Hai fellows, i am new to this forum. I am suffering from skin problems. Can anyone suggest any skin care home remedies to improve my skin."
HELP! Nothing's working for my acne,https://patient.info/forums/discuss/help-nothing-s-working-for-my-acne-711723,"I have hormonal acne that has started to spread to my forehead and chin. I have super fair skin and every spot is leaving me with dark purple scars. Last year my skin was clear as I had been on Yasmin for around 8 months. 6 months ago they changed my pill to Lucette, which they said was just a different brand name, however I have broke out since and am unable to control it. They said they no longer fund Yasmin. I have tried all the products below and strict skincare regimes but none of them work. I'm now getting really deep painful cystic spots that are staying under my skin for months!Anyone got any ideas?Products tried:ZinerytDuacAcnecideDoxycyclineNumerous other contraceptive pillsTpoical and oral antibiotics combined"
Rash ,https://patient.info/forums/discuss/rash-709536,"i dont know if this is the right forum to post but i will post it.I got some kind of rash circles on my leg 3 or 4 days ago,at the time,there were just 3 5 little rash kind bumps on the back of my left leg,it doesnt hurt,i dont feel the need to scratch it,nothing.I went to the doctor,and he said that its probably a mosqito bite,but im sure it isnt.i dont get bitten by mosqitoes often(maybe once or twice the whole summer),and on our way to the doctor i spotted two more rash little circles on the same leg.I got some kind of cream to put on twice a day,it started helping and i think if i continue using it,they will disappear.the only problem is,that rash circles are spreading,now i have like 5 6 on both legs.im sorry for my bad english,but i think you will understand what i mean.Does anyone know what are these little reddish rash circles? btw im 15 year old"
Acne,https://patient.info/forums/discuss/acne-706460,hi everyone. in just wondering has anyone any solutions or homemade remedies for acne. Can you give me advice on how you got rid of your acne if youve had it. im 27 and i have it on my face. im so concious about it and I really need some help. i absolutely hate it. i feel so ugly with it. i cant leave my house without makeup. and id really live to go a day without having to wear it. any advice is appreciated thank u
Stopping Dianette (or other OCPs) and skin,https://patient.info/forums/discuss/stopping-dianette-or-other-ocps-and-skin-698834,"Hi,I'd be grateful to hear from anyone who has suffered with bad skin after stopping Dianette. My situation is getting me down.Basically I've taken Dianette for the past 14 years. I went on it due to oily skin and acne which it was absolutely brilliant for. Anyway, I had to stop taking it 3 months ago. Within a month my skin was getting oilier with few small spots. Now I'm at a stage where my skin is so oily my face will start to shine within minutes of cleansing it. I'm endlessly having to blot my face all day. My hair gets greasy much faster than it used to. My chest and back are now spotty, and my face in addition to being extremely oily is covered in spots. My chin is by far the worst with big, red, cystic acne.Is there any hope that this will settle down in time or was the pill just masking my problem this whole time? More than the acne for me the worst part is my greasy skin.I can't go on to an alternative OCP at the moment. I'm using benzoylperoxide gel but it'snlt as effective as I'd hoped.I know there are many worse problem to have than something so superficial but its so damaging to confidence. I'm 30 and never imagined I'd have bad acne at this age. I can't even cover it up because my skin is so oily it just causes make up to slide off.Does anyone have any experience with this and any tips on possible treatments?Thank you in advance."
Help me please ,https://patient.info/forums/discuss/help-me-please-708179,"Uh I'm not entirely sure who to ask this so I'm asking here i guess. a couple months ago i was sitting down and i noticed my labia was really uncomfortable. So i went to the bathroom and there was a bump there. It was painful to touch and squeeze etc. It was really bothering me so i kept on squeezing. (i know I'm not supposed to squeeze things like that but it hurt to much if i didn't) after a couple minutes of squeezing it finally popped. light yellow liquid came oozing out. after that liquid came out it oozed blood as well. well flash forward to today and i was sitting down again, moved my leg and thought, god damn this hurts my labia. and well sure enough another bump was there. same thing happened. although it was on a different side of my labia. Ive never had sex but i have masturbated. i would really like to know what was on my labia."
Is this a pimple or something worst?,https://patient.info/forums/discuss/is-this-a-pimple-or-something-worst--706663,
Severe acne,https://patient.info/forums/discuss/severe-acne-706956,"![image](https://patient.azureedge.net/forums/images/upload-sm/1253418-636981591986885443.jpg)Male, 22 yo.This is going on for 3 years, with new breakouts every day.Tried bazirone, solantra, benzoilbenzonate, zenerit, no diary.Facial hair doesn't grow anywhere but upper lip area.Sometimes I feel sick after fatty foods, milk and sausages.I also have an odd shaped gallblader, but the doctor said it's okay and was probably like that since birth."
Cystic acne,https://patient.info/forums/discuss/cystic-acne-706381,"Can anybody offer some advice regarding hormonal acne pl? Getting desperate for adult daughter who is really depressed due to relapse. She is 43 and during her life time had three lots of accutane. Last one was in 2007, Her acne has come back, they are cystic ones mainly on chins and are so painful. I do not know what advice to offer. DUAC does not seem to help. She does not wants pills if she can avoid it. She is considering seeing a herbalist and exploring alternatives therapy. Has anybody tried anything else with success . DIET OR SUPPLEMENTS? CHINESE MEDICINE OR DERMATOLOGIST privately as do not think gp will refer her. She cannot even get appt to see gp she is seeing the nurse. Seeing a dermatologist or chinese practitioner cost about the same £200 for consultation. It is affected her psychologically and any advice and tips from fellow sufferers will be greatly appreciated She is often tearful on the phone with. Thanks"
SUPER ACNE,https://patient.info/forums/discuss/super-acne-679547,I'm 28 years old and still suffering from dreaded acne for over 18 years now. Been trying everything to get rid of it but just keeps getting worse. Anyone experiencing the same fate?I'm 28 years old and still suffering from dreaded acne for over 18 years now. Been trying everything to get rid of it but just keeps getting worse. Anyone experiencing the same fate?
Sudden Breakout of Bacne,https://patient.info/forums/discuss/sudden-breakout-of-bacne-705262,"Sorry for the disgusting title, but I need some advice. Im 18yo male and Ive had trouble with acne on my face which I can manage. Ill get some cysts at my eyebrows, whiteheads on my nose and lip, and the ones in between on my cheeks. They come one by one, but in the last day or two my back (which also usually has two or three pimples at a time) sudden has a severe breakout. For the last 5 weeks, Ive had an unhealthy lifestyle (5hr sleep, 20mg adderal, soccer every other night, long work days, dusty work environment), is this my body finally giving in to the stress or is this something else?Thanks,Mike"
Opinions on my acne scars please ,https://patient.info/forums/discuss/opinions-on-my-acne-scars-please-693673,"Hi,i am massively conscious of my acne scars - ive added a photo of the ones on one cheek. i have make up on, but they still look so indented and pitted. It really spoils my confidence.how bad do you think they look? and any cheap solutions? Many thanks "
Redspot on face for almost a year ,https://patient.info/forums/discuss/redspot-on-face-for-almost-a-year-693995,"Hi,I haven't had acne since the better part of my 20s and know just started my 30's and I have a redspot on my cheek that doesn't seem to want to go away. it's not a pimple (does not hurt or grow or become white just stays there like a kind if inflammation).Dermatologists said its acne and gave me a cream (benzol peroxid) just made it more red.any thoughts????File size is too big"
Pimples on legs,https://patient.info/forums/discuss/pimples-on-legs-701165,Can anyone tell me what these pimples on my legs are? They seem to pop up out of no where. I shower 1-2 times a day and wash bedding weekly Please help Thank you!
Cystic Acne,https://patient.info/forums/discuss/cystic-acne-700738,"I have had a cyst the size of a penny on my cheek for about two and a half years now. It goes away every now and then when I apply Dr. Christopher's Black Ointment however it takes days for it to reduce the size. Ive been to two dermatologists, I was given a antibiotic which did not work and then I got a steroid shot recently in the place of my cyst at which is reduce the size tremendously. However three months later the size of the cyst returned back to the size of a penny. Should I just try to get it cut out at this point?"
Should I go on Roaccutane!? Please help. ,https://patient.info/forums/discuss/should-i-go-on-roaccutane-please-help--695481,"HI,I am a 27 year old female dancer. I have suffered from acne since i can even remember. Trying every pill and cream out there over the years.It is now no where near as bad as it used to be but i still have adult acne- and it is now on my back also quite bad.The dermatologist is now wanting to put me onto Roaccutane as my last option. After hearing a lot of side affects physically and mentally i am terrified to try it. Bad flare ups and snake like skin will stop me with work for a while also as a dancer in front of the camera and live work.- Let alone play with my mental state of mind and confidence.Please can you comment and help me with either negative or hopefully positive feedback of the drug. i am currently in tears and so unsure of what to do- but the thought of this acne the rest of my life i also cant cope with.I appreciate any feedback so much. THANK YOU x"
Bumpy/textured forehead won’t go away!!,https://patient.info/forums/discuss/bumpy-textured-forehead-won-t-go-away--695190,"hey guysmy forehead has been bumpy/textured for years! i cant even explain it. its like these tiny skin coloured bumps everywhere. it just looks textured. theyre not actual pimplesi exfoliate all the time, i always remove my makeup, moisturise.. all the usual stuffiv tried chemical and physical exfoliants... iv tried nizoral cream. nothing works!! 😦image"
Need help tracking my flareups,https://patient.info/forums/discuss/need-help-tracking-my-flareups-684291,"I've been having flare-ups quite frequently of late but I am not sure what's causing them and I'm not certain the treatment my General Physician has given is working either. I was wondering if there was any way to track the flare-ups so I can manage them a bit better. Please help, its really frustrating and I'm very stressed."
Doxycycline for acne...,https://patient.info/forums/discuss/doxycycline-for-acne--686674,Is anyone taking doxycycline for acne? We have been on for a few months with trentenoin but it seems worse now?? This is so frustrating as we were just at the Drs about a month ago.. I feel so bad for my son and he's looking for me for answers.. : (
HELP IVE HAD A RED SPOT ON MY FACE FOR 2 YEARS,https://patient.info/forums/discuss/help-ive-had-a-red-spot-on-my-face-for-2-years-688006,"ive had this same red spot on my face for two years. i thought it was a pimple at first, so i tried to treat it with acne creams and other things, but nothing worked. im sure its not a cyst. does anyone know what it is???"
Need help tracking my flareups,https://patient.info/forums/discuss/need-help-tracking-my-flareups-684293,I have had a problem of acne flare-ups and I am not sure what's causing them. My general physician's treatment does not seem to make it better. I was wondering if there was any way to track the acnes better so I can manage them a bit better. Can you please suggest something? Its really frustrating and I'm very stressed!
Acne Zits and pimples to get rid of this,https://patient.info/forums/discuss/acne-zits-and-pimples-to-get-rid-of-this-680347,"I have Acne on my face, hands and on a back portion and from this, I am really very getting upset from that."
acne,https://patient.info/forums/discuss/acne-673501,i’m fourteen years old and have moderate acne but bad red spots/ scars/ hyperpigmentation. i’m on rentin-a 0.08% and bactrim and i’m not satisfied with the results. please help!!
Acne and why won't it go away? ,https://patient.info/forums/discuss/acne-and-why-won-t-it-go-away--678803,"I have been seeing a dermatologist for about a year now but have been dealing with acne every since I was 11 years old. It first started out as little sweat pimples but quickly got worse. When I was 15 I went on the Depo provera shot (Worst choice of my life) and my acne went south quickly. I then decided to see a dermatologist and she classified my acne as being ""superficial"" with a few cystic pimples as well. My acne is all over my face and has really made me hate being in my own skin. Nothing I have tried has worked. I have done the sulfur wash,tretinion, and she just upped my tretinion and gave me a antibiotic cream as well as recommended tanning. Is there anything else I can do? This has seriously taken a toll on me mentally and I don't know how much more I can take. Thanks in advanced! I have been seeing a dermatologist for about a year now but have been dealing with acne every since I was 11 years old. It first started out as little sweat pimples but quickly got worse. When I was 15 I went on the Depo provera shot (Worst choice of my life) and my acne went south quickly. I then decided to see a dermatologist and she classified my acne as being ""superficial"" with a few cystic pimples as well. My acne is all over my face and has really made me hate being in my own skin. Nothing I have tried has worked. I have done the sulfur wash,tretinion, and she just upped my tretinion and gave me a antibiotic cream as well as recommended tanning. Is there anything else I can do? This has seriously taken a toll on me mentally and I don't know how much more I can take. Thanks in advanced! "
Acne,https://patient.info/forums/discuss/acne-676297,Im fed up with acne ..I feeling to die
"It won't go away, how may acne and sex be related?",https://patient.info/forums/discuss/it-won-t-go-away-how-may-acne-and-sex-be-related--651638,"This question has been circling in my mind for a while now...?Is the fact I’m having more sex than I've ever had, the reason I’m getting way more acne Keep reading if you have used Clindamycin Phosphate. (I need advice)I’ve never had any huge breakouts for most of my life. Always had clear skin. Until I met someone and decided to go on to the implant, which I was using for probably 1-2 months, I hated the implant and had it removed as fast as they allowed me to. They tell us that the hormones leave your body, but I’m not sure if they have? Or if the implant (implanon) has caused permanent damage. I have been vegan/vegetarian for over a year, but recently in August 2017 I gradually went gluten free and unfortunately I wasn’t watching what I was eating for a few months. Gluten free products are processed, packed with tonnes of sugar and unhealthy fats which can cause candida overgrowth which can eventually lead/trigger leaky-gut-syndrome thus leading to acne (your body begging to be healed)I had already been causing my gut damage from being raised eating grains and dairy for years, thank god for books and articles!I also meditate a lot and raise my vibration emotionally/spiritually so my body physically cannot eat low vibrational foods such as junk food, processed meats, dairy products, dairy free products, soy, soy lecithins, soya beans, tea, coffee, chocolate ( a part from one chunk of raw dark chocolate without soy/soy lecithins), biscuits or cheap poorly manufactured foods, phytates, etc. Grains have changed – they are not what they used to be. Wheat (heavily modified), barley, maize, rice, oats all contain proteins and other dodgy things that are extremely irritant for the gut wall and gut bacteria. - My source here: http://popthepimple.com/how-to-heal-gut-for-clear-skin/So back to the acne and sex situation... For months me and my boyfriend were staying up late sometimes 1-3 am sometimes 4-5am because he had work until late (massage therapist) We were eating Red Thai curry with rice (GRAINS, SUGAR, FAT, GRR) without realising the damage this was doing. Bad habits... fun at the time. We once had an indian with dairy in :O I had serious cramping it was not healthy.I hadn’t been exfoliating or using any products consistently either - but I am now. My routine is actually working for me and my skin is starting to clear slightly.?I use a washcloth in the mornings with water, then I cleanse using only water. (I might step up to a chemical exfoliant eventually) ?I exfoliate with the washcloth in the evenings too, and then cleanse using biodermas gentle cleansing gel then wash it off thoroughly, splashing my face 8-10 times with water.I splash my face with water to keep some moisture on my face and use a humectant before applying a moisturiser. Plus some good quality sun screen. (these tips I learnt from olena beley on youtube) - source - http://popthepimple.com/how-to-moisturize-like-a-pro/I keep a food diary... I know my good and bad days.I've started working out 5 times a week. (cardio, yoga, walks)I stick to time-restricted eating. Which everyone should do!!This is where you are supposed to eat in a 8-12 hour gap. Your liver has a circadian rhythm too! Not just the brain...( also learnt from olena beley) I do not eat anything processed any more, I eat fresh vegetables and fruit religiously! Around 5-7 a day of vegetables. I try to eat a small amount of fruit because fructose is still sugar (inflammatory) and I use lots of herbs and spices. Maca, hemp, linseed etc in breakfast smoothie. Healthy fats only. I currently take Optibac probiotics to help balance out bad bacteria in my gut (saccromyces boulardii) with vitamin D, zinc, vitamin C ( all I can afford right now but I plan to take all of the below) However, everyone who suffers with acne is deficient in: ?Magnesium (even non-acne sufferers)Vitamin DVitamin CIronZinc?Glutathione (antioxidant)?L-glutamineNCASo the main worry and anxiety I have is the acne and sex correlation.My partner and I have a age gap relationship which makes me think that his gut bacteria, which can be found in his digestive tract (saliva) is contaminating me whenever we are kissing, as he is older he's had a lot more time to eat junk and not take care of his gut flora... and I feel like i'm the one suffering, especially long tongue kissing... Also, when we have oral sex I get a yeast infection or just generally itchy down there. We also sometimes have sex 2 times a day or it can even be 3-4 times a day if we have time. This isn't everyday. The days we are apart my acne starts to heal (I don't know if i'm imagining it) But we have sex lots during the week because we are quite horny for each other....and he also has stubble (which is irritating to my skin and stimulates oil production, clogging the pores) he is being respectful and not kissing me too roughly any more and avoiding getting saliva on my face/grabbing my face during sex.But sometimes I still feel sore around my chin after a long session of making out and love making ( it feels so unavoidable )He is so understanding and listens to me and we have been cooking healthy food when I stay over (which is 3-4 times week) he is making an effort. He used to be super healthy and on a raw food diet but before he was with me due to circumstances he developed bad/lazy eating habits.?Also to prove candida overgrowth: he has athletes foot. So, my main questions are:Is there any ?evidence to prove the relationship between lots of sex and acne outbreaks??Why isn't this a largely spoken about topic?Also who has used: Clindamycin Phosphate? I'd like to know other people's experiencesAre my hormones going crazy because of all the sex? Should I take a break from sex and see if my acne goes away? The thing that makes me worry is that he would lose interest or it would kill the spark if we can't even kiss because it's causing breakouts. He loves shoving his tongue down my throat ... often. Ha ha!Has anyone else experienced a problem with sex and acne? Hormonal acne that just doesn't go away? Implant removal acne? Please help!"
