"label","discussion"
"Otitis Media","Hi everyone,I've just had a stapedectomy in my right ear and thought I would share my experience with others who may be considering this operation. I'll try and update this every couple of days, but feel free to ask any questions you might have in the meantime. I've really benefitted from reading people's first hand accounts in the lead up to this op so this is my opportunity to try and give something back to this niche stapedectomy community ;-).Background to Stapedectomy: Since Dec 2016 I started to notice that I was losing hearing in my right ear. At first it was only minor (20% loss) but by early 2018 I was classified as severly deaf in that ear at around 85-90% loss. The severe hearing loss had a big impact on my social life, my ability to carry out simple tasks (i.e. riding my bike) as well as my work (meetings became a struggle). All of this coincided with a 10 year relationship break up in 2017, which when combined with my hearing problems, made me the social equiavalent of Gollum from Lord of the Rings. Something had to be done...Getting Diagnosed: Getting the diagnosis for Otosclerosis in my right ear took a bit of time. Initially I thought it was wax build up and went to see a Dr in Romania while visiting my then girlfriends parents. They couldn't find any wax and recommended an MRI to check it wasn't anything sinister. Returning to the UK I got an appointment with the ENT department who undertook a series of checks and concluded I had Eustachian Tube Dysfunction. Cue several months of steam baths, decongestants, anti-hystamines none of which were effective in improving my hearing. I also had a CT scan which confirmed that there were no tumours present (these tumours are often harmless even if found). Returning to ENT after 6 months ready to demand grommets for my ears I was put through a hearing test again. This confirmed I was now severly deaf in my right ear, but also that my Eustachian Tubes were functioning normally. Hmmm? What had happened?It turns out that the machine that they would have used to check the pressure in my middle ear canal wasn't working during my original appointment and therefore they were unable to discount ETD. Annoying.My crude understanding of how they diagnosed my Otosclerosis is as follows. Ear drum was working fine, my auditory nerve was picking up sound fine (checked through bone conductivity tests if I remember correct) and my middle ear pressure was also good. By process of elimination they were pretty sure it was my a mechanical problem with my 3 ear bones, in particular the stapes.Why did I opt for the Op? At the time I was given the option of hearing aids (hmm); a Bone anchored hearing aid (i.e. a hearing aid implanted into your skull) or a Stapedectomy. My personal reasons for going for the op were 1. my hearing was so bad in the affected ear that I felt the risk of losing my hearing totally through the op would not have resulted in a much worse situation to the one I was already in. 2. The success rate was for the op appeared to be good and could be undertaken as a day case 3. The op offered the potential to hear completely normally again. The other two options would have provided more artificial hearing benefits. 4. Probably an element of vanity about not wanting to wear hearing aids of have an implant Day of the op: So I was quite nervous about the prospect of a general anaesthetic (GA). I woke up on the day of my surgery Tues 8th and had to skip my coffee and breakfast as per the rules. The order of play went a bit like this....1. Seen by nurse who checked vitals2. Seen by anaesthesist3. Seen by surgeon4. Dress in funny clothes and excellent socks5. Go into the operating theatre, have a small freak out about how many people are there just for you, get a mask over your face and then passing out.In all seriousness I am a fairly anxious person, but the NHS staff were amazing and knowing what was coming each step of the way really helped quash any mystery about the process. Essentially GA is extremely safe unless you are a 120 year old man being rushed into A&E with half an arm and a penchant for long mid-morning snoozes.Waking up and Day 1: The surgery took 2 hours for me, although 45-60mins is more common (i have a small ear canal apparently!). and you'll generally be put under for about 4 hours in total.Waking up you will have a nurse checking your vitals and handing you some water to sip. Everyone has a different post GA experience (inc. hysterical laughing, crying and memory loss) but for me I was just  moderately dizzy and very lethargic. I got wheeled into a recovery room for about an hour an ate everything they had on offer. The first trip to the toilet was difficult as was putting on my clothes due to being so off balance.I was given some paracetemol and Ibuprofen for the pain (at this point there was none) as well as some cotton balls to replace periodically over the next few days. I was told my follow-up appointment would be in 2 weeks where the packing in my ear would be removed.At this point many people talk about being able to hear straight away. I can't say this was my experience, but I largely think this is due to the packing which is fairly tight in your ear. However, I did notice that scratching my ear lobe lightly produced a much louder sound than prior to the surgery which helped to give me some piece of mind that something has worked.Day 1 returning from surgery: Dizzy and tired. Dizzyness comes more from leaning head forward, leaning head backwards or going up and down stairs. This is a very common side effect of the surgery so I'm not worried at this point. I have to move in a more considered way but I don't think I'm at risk of falling over from this feeling of being off balance. There is some pain in the affected ear but it's not too bad. Had a big meal, watched some TV and then feel asleep on my back.Day 2: Just as dizzy as yesterday, cotton swab has a small amount of blood on it, ear pain definitely worse and can hear my heart beat/blood rushing sensation in my ear. None of this is unbearable and I still manage to talk to my sister on Facebook and listen to Adam Buxton's podcast. It's fairly embarrassing but one piece of advice I would give is get some 'stool softners' and or laxatives. A side effect of GA and pain medicine is constipation. Combine straining with a traumatised ear op and you have a fairly tricky pain balancing act while hovering over the toilet. Heed my words!Day 3: Bad night of sleeping waking up in pain. Think I'm trying to do to much to soon. No change in hearing, but I'm really not expecting anything until the packing is out. Felling generally a bit deflated after the GA and not being able to do anything active...I am not an indoors person. Had a dizzy walked to the shops looking like a drunkard.Day 4: slightly better sleep. Still some pain but I've only taken one ibuprofen today so it could definitely be worse. Still some minor bleeding on cotton swab. Ear continuing to make weird farting and squelching noises. I'm pretty relaxed that my ear is in recovery mode so I'm not expecting any miracles at this point. You'll read on other forums that some other people are already back to work at this point. This still feels some way off for me, but from what I've read about this procedure I can say for sure that everyone has very different recovery experience and associated timescales. Life can't be too bad as I've managed to write this post. Will update more over the coming days"
"Otitis Media","Hi guys, I'm new here.*So it all started in late December/early January. My roommates and I got flu-like symptoms. Fever, cough, mucus etc. Eventually we got over it. Or so I thought.*Fast forward to the tail end of January (27-28th). Started developing slight vertigo. It would come and go throughout the day (I mostly noticed it in closed corridors or whenever I showered).The vertigo eventually went away however after a few days. Weird.Fast forward a week later, maybe the 8th of February. I started developing ear fullness, and crackling. It was dull but constant . Eventually I got slight facial tension on my cheeks as well. No paralysis but almost like a sunburn or my face being pulled back.I spoke to my mother in law who's a nurse. She checked my ears and noticed they were swollen but no fluid. She suggested Motrin and Sudafed. Maybe it was sinus issue?I used it for one week straight. Didnt work.Eventually the vertigo came back. And now it came back even stronger. This was like the 14th of February.I started freaking out. I would get lightheaded out of nowhere and feel like passing out. My head felt so swollen. Almost as if someone wrapped a belt around my head. So I go to urgent care thinking Im dying. They checked my blood sugar. It was fine. Hemoglobin. Okay. Blood pressure? A little high due to panic attack.The urgent care doctor runs a basic neuro test on me...my finger following her finger, eyes following her finger etc. She checked my eyes and ears and her conclusion was... Migraine. Migraine...I've had migraines before. This did not feel like it.She prescribed me Sumatriptan for headaches and Zofran for nausea. It did not help so a few days later I went to the physician (17th of February).Physician ran the same test as urgent care doctor however he concluded I had middle/inner ear infection due to a virus that stuck around since January.He prescribed me ear drops, Meclizine for vertigo and Ibropufen.Now its been a few weeks since my appointment.My head still feels swollen but not as much during the day as before. Also, my facial tension has slightly diminished. Not as much vertigo. My eyes arent spinning anymore however I still have ear fullness and crackling.That being said, the odd thing is even though some symptoms are diminishing, I feel like I'm developing new symptoms.It almost feels like I am drowsy, drunk. I get tired very easily. Like I need to put my head down during the day.Also my heart rate would spike randomly. I could be resting at 60bpm then all of a sudden it can go to 90bpm as soon I start thinking about it.The best way to describe the feeling is like I have low blood sugar with high blood pressure.Secondly, I would get a throbbing sensation in hands and feet accompanied by cold sensations and pins and needles.Lastly, I feel like I can hear my heartbeat and it feels like its pumping harder.I'd like to note that all these symptoms come and go throughout the day. Some hrs are better than others but still constant every day.Doctor likes to say that its my anxiety due to panic attacks. He says it put a lot of pressure on my nerves. But I'm not sure.Its just so odd. I was perfectly fine leading up to the new year (working out 4 out of 7 days a week) then all of a sudden I'm having all these odd symptoms.Is the doctor right in saying this is an inner ear infection mixed with anxiety?Vestibular neuritis? Labyrinthitis?Its on my mind everyday. Maybe thats why I feel so fatigued?5'7 male29 years old175 lbsFilipino MexicanAny advice would be amazing. Thank you so much."
"Otitis Media","Hi All,I had an ear infection over 3 weeks ago which causes severe dizziness and hearing loss. The dizziness went away after a few days but I still feel unbalanced however I feel that is improving. During the first week my ear was completely blocked and had no feeling and couldnt hear anything.I got a hearing test and the audiologist said my hearing was profound loss. However since then I think my hearing has got better but not fully recovered. I saw an ENT they recommended I have a MRI which is soon. The last couple of weeks I have tinnitus which is really annoying me and I am worried. This is coming on to 4 weeks now. This started due to infection where my ear drum was inflamed after having a shower and during the night my ear got worse and worse.I saw my GP said last week my eardrum is no longer red but is dull, what does this mean?I am looking for advice and help with this. All comments will be appreciated highly as I am going through a very tough time as I am only 25."
"Otitis Media","I am a 33 year old female who has been struggling with PET for about five years now.  I have tried gum chewing, saline, estrogen, patulend, and tubes with no success.  I am now on my third ENT, who wants to do a nasal endoscopy and refer me to a neurotologist as well.  A few questions.  What will the neurotologist do?  What happens if my ears aren't doing it when I have the nasal endoscopy?  Any other temporary relief ideas (besides head between legs or laying down, because I can't do that at work)?"
"Otitis Media","hello.i have : Unilateral Tinnitus in left ear, Severe vertigo, a vague, dull, constant ache behind eyes, inside ear area, fullness, severe fatigue, sometimes I get sudden chills.once or twice lately ive woken up with numb fingers and i dont know whycan anyone help?"
"Otitis Media","Looking for an opinion on my last 2 years of being ill. I'm 46 years old, male, and in a good state of fitness. I'm not over-weight, have never smoked, and rarely drink.I've seen numerous doctors and don't seem to be any closer to a diagnosis. I started visiting my GP with what felt like a lingering flu. Early symptoms included being over tired, pressure in ears, and generally not feeling well. I'd been dealing with a very stressful business situation in the 12-18 months before the symptoms started and was advised that I was probably run-down. Each time I went to the doctor they would take a blood test. Over at least 6 tests they would always tell me something different, but it always seemed to be that I had some unknown virus. At times my blood cell count was too many white cells, or too many red cells. The frustration was they could never tell me what was wrong. I had stress tests for my heart, CT scan and MRI. All came back normal. During this period I would sometimes have 2-3 weeks where I felt normal and was able to work and exercise. These periods of good health never lasted. Fast forward to about 6 months ago. My [now new] doctor referred me to an endocrinologist as it was thought there may be a thyroid problem. My first test did indicate that I may be hypothyroid but they didn't want to give me any medication as they thought it wasn't required. I didn't get any better over the next few months with the same symptoms continuing - pressure in my head and ears, fatigued, unable to concentrate etc. At my next visit to the endocrinologist my thyroid function had worsened slightly and I was put on 50mg of euthyroxine. My blood pressure was also fluctuating a lot with periods where it was around 150/104. I was prescribed medication to try and bring this under control. Around 4 weeks ago I was on a trip away from home and started to feel really awful. I felt my head pressure was increasing and when I shut my eyes the only thing I could hear was my heart beating with a pulsing feeling my head. I had frequent hot flushes, dizzy spells, and never ending ear pressure. I was sleeping frequently for hours during the day, but struggling to get a good nights sleep, perhaps due to building anxiety about what was wrong with me. Now back home, I went back to the doctor and explained how bad I was feeling. The main symptoms now being extreme fatigue, constant pressure in my ears, and a very strange feeling at the top of my head. I felt on a few occasions that I was going to faint, especially in the morning. I had tried exercising [cycling] one morning, and had to abandon after only a short time. I had also started to feel aches and pains in my legs and back. I explained to the doctor that the main symptoms that were worrying me were the inability to work [tired and no concentration span], the pressure in my head and ears, and the strange pounding sensation from my heart. I was thinking at this time that these may all be connected to being hypothyroid. The doctor ordered a new thyroid function test which came back right in the middle of the normal range. That has scared me as I feel dreadful, and have been pretty much consigned to bed for the last week. When I do get up I feel dizzy. My eyesight has changed. Hard to explain but it's just not feeling normal. I also feel that driving has a different sensation and I don't feel entirely safe. I still have episodes of feeling like I will faint, but never do. My doctor had asked me to take Zoloft [as she felt I was over anxious]. I didn't want to take them but did, thinking it would do no harm. The morning after taking it I felt even worse, with the dizzy feelings increased. Even 2 days later I still feel the effects. I'm trying to find out what could cause my symptoms and came up with various reports on labyrinthitis. As this seems to be a viral problem that can cause the feeling of ear fullness it seems to be a possibility. It's all I've come up now that it doesn't look thyroid is the source of the problem. Right now, I'm in the worst health I've been in years. I can't work, exercise and need to sleep 4-5 hours during the day. I have constant ear pressure, pressure in my head, dizziness, lack of energy, and muscle pain. Can anyone suggest what this could be. It's been 2 years now and I just seem to get worse. Writing this from bed as I don't seem to have the energy to stand up."
"Otitis Media","Two weeks ago I had a bad cold with chills and a fever that turned into a sinus and ear infection. The day I decided to go to the doctor I was experiencing severe sinus pressure. I moved my head in an awkward downward facing position and I felt liquid go into my ear. I tried shaking my head but it only made it worse and over the course of 2 hours the pain became unbearable. I tried using over the counter drops which only made it much worse to the point where I could not drive myself to the doctor.The doctor saw the fluid in my ear and said the ear was infected and gave me a 5 day course of antibiotics. I finished the antibiotics 3 days ago and my ear is still clogged (no pain) and ringing non stop. ?I'm not sure if the clogged feeling is from fluid or inflammation/swelling. I no longer hear the fluid moving around when I move my head. I tried taking a nasal decongestant and ibuprofien for several days, I have used flonase and saline nasal spray every day. I tried a neti pot but the water kept just going down my throat.Any advice would be appreciated as I cannot go back to the doctor for another 5 days."
"Otitis Media","So I've been having headaches for 3 years now and It is driving me crazy. So to make a long story short I got tubes put in about 5 years ago and they seemed to be doing good so about a year and a half later they took both of them out because they needed to come out. No problems were there at all I was perfectly healthy and them after I got them taken out the ENT ordered a CAT Scan and they found there was a small cyst on the left side of my head something called a cholesteatoma which is probably from the scar tissue of the tubes when they did the surgery to put them in. Then I had to keep going to the ENT doctor about every 6 months and no problems were found anywhere I was living life normally and healthy. Then before I lost my medicaid I went back to the ENT and he said there was no need to do surgery, But he said if there are any problems later on go back and see him. So I couldn't go back to see him because I lost my medicaid and after a month and a half I started to get headaches, which I thought was a normal headache so I went through daily life, Then about 2 months after that I started to feel a little bit unsteady, I didn't think anything of it and I thought that would go away as well, then that persisted for about a year until I started to develop full body shaking and a burning to the left of my head I still get the burning sometimes. Then I developed confusion, concentration problems, brain fog, and dizziness (feels like I am on a boat). Then last year 2019 I went to get a neck MRI and they found a herniated disc on my c5-c6 cervical disc but I don't think that a cervical disk would cause all of these symptoms. I'm at my widths end with all of this so if anybody has any answers please tell me. At this point in time I'm losing trust in doctors for the sheer fact that they keep on sending me to random places and won't listen to me. But, Hopefully I can go back to my Primary Care Doctor to see what he can do for me."
"Otitis Media","I have a small lump behind left ear, not painful or hurts when pressed. Sleeping on my left side when in bed asleepobviously ear and lump get warm. Next morning the lump has almost disappeared. About half an hour after getting up and about the lump has reappeared. This will happen each night but not when sleeping on right side.Could he lump be a swollen lymph node? Why ?.?does it reduce during the night and recur during the day.Could anyone explain this please.**"
"Otitis Media","Hi,I am a 33 years old female. I started to have this static sound in my ears from December 2019 and I have been referred to the ENT doctor, he checked me and I have done an audiology test and both ears where in normal hearing area but he said that the left ear how I get the sound it has a different shape (the line which shows on the audiology test) and he said that I need an MRI scan for the acoustic neuroma. I don't have any other symptoms apart from the tinnitus which drives me crazy in the night. Is it MRI safe? Are they gonna scan the whole head to check for tumor? If any of you experienced something similar please let me know. What are the chances to have a tumor? is it very common to be send for an MRI scan to exclude the tumor?If you found any remedies for the tinnitus please let me know too. I am very anxious as I have another problem apart from this, I am high myopic with astigmatism and it was enough with the eyes, now I have this problem, it's never ending 😦((Many thanks,Suzana"
"Otitis Media","I just turned 28, healthy female, I had a concussion last month and had times where i felt like i had vertigo. It has all passed and I'm feel alot better. Last night, I fell asleep on my couch, and woke up with my ear feeling like it needed to be popped. i couldn't get it to, I then start to feel pressure in my ear, not painful, just uncomfortable. there are times where it will pop a little, then feel like it needs to be popped again, it constantly feels like this.. It feels the same this morning. i went into the e.r who wrote of congestion, but i dont feel congested, i do have bad allergies. im just a little worried now. any opinions? i have a app with mt primary doc. anything i should ask for test to have her check for?"
"Otitis Media","After saying I am not deaf I have to admit that I do have a slight problem. I have permanent noises in my ears and maybe this is the cause of the hearing problem?I am considering sending for a hearing aid online and wonder if anyone has bought one this way? All I want is a very small one to pop into the ear and hey presto! I don't want the bother of going for hearing tests just yet. Regards J"
"Otitis Media","hi everyone, it seems one thing after the other and this time it's absolutely terrifying. in late December i woke up to a sudden spinning sensation which was the same day i got bk from a funfair. i ended up going hospital in complete panic with anxiety. i had it for the next 6 weeks but more of a floating sensation followed by headaches which was occasionally, nausea and extreme tiredness. apart from the constant floating sensation i got the vertigo twice wen laying on my right side. this all disappeared for about 2 weeks until yesterday when i woke up to everything spinning again. i couldn't stand without falling. it lasted about 30mins but still have the dizziness on and off but better when I'm out. i also have a mild ringing noise in ears with what feels like fluid in my left ear but no deafness. i went to see my doctor who gave me nasal spray with steroids and appt to see a ENT doctor. when i have these episodes which I've only had about 3 in total i go into complete panic and jump up as it seems better when upright. can anyone give me advice on how to control these episodes without going into panic mode. I'm terrified these episodes won't pass unless i get up. I've also read these episodes of vertigo could last hours. I'm 42 advice and support much appreciated. i just hope its not the worst type if vertigo. could i have this permanently. not coping at all!"
