"discussion_title","discussion_link","discussion"
"toxic hepatitis..scarred","https://patient.info/forums/discuss/toxic-hepatitis-scarred-664827","Hi, I've been diagnosed with toxic hepatitis with liver enzymes over 2000 6 weeks ago. After 6 weeks all liver parameters were good(bilirubin,alp etc, protrombine time was ok)) only ast and alt are up and down in recent month. One week they are around 180 and this morning around 300. Dr said it takes time to fully recover, 3 months, but I didn't find any cases online with fluctuating results.All viruses came back normal on initial testing(A,B,C)Does anyone have any idea?Thanks"
"URSO","https://patient.info/forums/discuss/urso-663929","My son has been taking URSO for his liver since he was 2-1/2. He's now 31. He is so tired of taking it although it helps with his internal itching due to too many bile salts.Anyone else take this? What are your side affects? Any other suggestions to take something else due to the excessive bile salts?He was diagnosed at 6 mths with neo-natal hepatitis - was going to be on a transplant list, but then the URSO just came into being and UCSF doc wanted to try him on that and he's been on it ever since. He took it regularly up till age 18, then just off and on since then.thank you for your help."
"HEP B CHRONIC","https://patient.info/forums/discuss/hep-b-chronic-649874","Im 22 years old male.. i have hep b chronic from 2 years but idg*f ... im followed my daily routine like NO FAST FOOD ONLY HEALTHY FOOD, SOME TIME I DRINK I SMOKE HOOKAH MAN DONT LOSE PATIENE DO WHATEVER U WANT TO DO I DONT GO TO DOCTOR IF I DIE NOT A BIG DEAL I GO TO CHURCH DAILY PRAY IS EVERYTHING I BELIEVE BUT I WANT CURE THEN GO FOR HOMOPATHIC MEDICINE .... SOMETIME I FEEL LOW SOMETIME HIGH...SRY FOR BAD ENGLISH THAT'S ALL IF U NEED ANY HELP MSG ME BUT PLS DONT LOSE UR CONFIDENCE MANNNNNNNN"
"I was diagnosed with hepc about a week ago ","https://patient.info/forums/discuss/i-was-diagnosed-with-hepc-about-a-week-ago-650606","I am 31 years old and based out of Bangalore, India. I have been diagnosed with Hepc a week ago. My ALT was 171, my AST 122 and my fibroscan is 12kpa with a viral load of 6.9 logs. I don't drink alcohol often but use marijuana, I am also overweight and have been trying to lose weight for 2 years and not being able to lose weight and edema in my foot was what prompted me to get the test done. My doctor here in Bangalore prescribed a generic version of Epculsa fir 24 weeks even before the genome type was out and that kind of scares me. I am also experiencing itchy skin, fatigue and decreased appetite for the last 3 days (ever since I started epculsa) Considering that marijuana is still not legal in India and what we get is a street drug, do you think consuming or smoking it would have adverse effects?"
"Hepatitus C Geno Type 1 ( New Medication Works )","https://patient.info/forums/discuss/hepatitus-c-geno-type-1-new-medication-works--621321","HelloThis is to update the community of those who have a connection to hepatitis in some way. Especially geno type 1.?I had lived with being hep c positive for approximately twenty years. I begun a twelve week course of new medication eight weeks ago. The virus load was (1,200,000) at the beginning of the course. On the fourth week the virus load had been reduced to an amazing (28). On the sixth week blood test the virus is now not detected. My liver function test is normal though my liver has a slightly above average fat content, this too can be reduced through diet and exercise. I still have four weeks of treatment left as I have completed eight weeks now. ?This is reassuring news and much welcomed for those awaiting or just to begin treatment. The medication I have been prescribed is Exviera dasabuvir / Viekirax ombitasvir-paritaprevir-ritonavir / Ribavirin . For all those who may be hepatitis positive, pursue the treatment as it is becoming more available, as the cost although still considerable has lowered and more health authorities are able to offer the treatment than in previous times.?For any one that may be in a state of panic as to whether they may have the virus, the worst case scenario is that even detected positive, the rate of success of cure with the new treatment I have been informed by the hep c team who kindly manage my treatment is a staggering 98% which is brilliant news the hep c community has been needing for a long time.( On hope, foundations are built ) This news is a message of hope, keep focused and whatever your circumstances I hope this news brings comfort and a renewed sense of direction.?If any one has any questions to the treatment and it's side effects, you are welcome to reply.?RegardsRobert"
"HEPATITIS B","https://patient.info/forums/discuss/hepatitis-b-644930","Hi i am 25, hepatitis B positive, last 6 months antigen was 21,000 IU/Ml antibody was 0.110 IU/Ml, this month of Mar 17, antigen is 11,171.650 IU/Ml, antibody is 0.000. i am not on any drugs at all. what should i worry about?"
"Estaba buscando como curar el hepatitis B ","https://patient.info/forums/discuss/estaba-buscando-como-curar-el-hepatitis-b-644713","Estaba buscando como curar el hepatitis B y donde se encuentra el tratamiento nadie sabe. Soy de Republica Dominicana. Por favor responder. Ayuda,"
"medical peport","https://patient.info/forums/discuss/medical-peport-643765","I have HbsAg positives . HBV DNA virul load is 485 IU/mL . HBe Negative. SGPT & SGOT normal. whai can I do now . I have HbsAg positives . HBV DNA virul load is 485 IU/mL . HBe Negative. SGPT & SGOT normal. whai can I do now . "
"HBsAg- positive HBsAb- negative HBeAg- negative HBeAb- negative HBcAb- positive Please help me int","https://patient.info/forums/discuss/hbsag-positive-hbsab-negative-hbeag-negative-hbeab-negative-hbcab-positive-please-help-me-int-642455","I want more clarification "
"AIH ","https://patient.info/forums/discuss/aih-625499","Does anybody else here have autoimmune Hepatitis im currently being tested for it and really worried"
"Heb B","https://patient.info/forums/discuss/heb-b-640796","Hello Sir ma'am i am 23 male i am HBV positive in some blood tests and in some blood tests is negative recently i went through HBV DNA PCR Quantitative which is <50 IU/mLI dont know if its too high or what..I recently start getting complications but i started treatments now i am getting well too...But i am cautions about it becoz i am nt even conformed if its career because i once had jaundice when i was like 7 8 years old and my family thought its normal jaundice they didnt followed up the case and i got well after few days but my eyes remained yellow untill yet.Please tell me if i can get totally rid of it or nt?i dont even know the causes ..and guide me if i can make it negative permanently.Best regards.Hello Sir ma'am i am 23 male i am HBV positive in some blood tests and in some blood tests is negative recently i went through HBV DNA PCR Quantitative which is <50 IU/mLI dont know if its too high or what..I recently start getting complications but i started treatments now i am getting well too...But i am cautions about it becoz i am nt even conformed if its career because i once had jaundice when i was like 7 8 years old and my family thought its normal jaundice they didnt followed up the case and i got well after few days but my eyes remained yellow untill yet.Please tell me if i can get totally rid of it or nt?i dont even know the causes ..and guide me if i can make it negative permanently.Best regards."
"Chronic hepatitis C","https://patient.info/forums/discuss/chronic-hepatitis-c-615515","Wondering if anyone knows about these lab numbers I have. One of the test/lab that shows how many viruses in blood. Dr. Said that a number of 15 is normal and mine which he said is serious and very high is 680,000 viruses present in mine. Can anyone tell me anything about this. Currently in process of finishing up final lab work, now biopsy ordered. I hope I can get treatment started as soon as possible to get rid of this or under control. "
"Autoimmune Hepatitis","https://patient.info/forums/discuss/autoimmune-hepatitis-639376","Anyone has this diagnosis"
"Hi","https://patient.info/forums/discuss/hi-631640","I'm told that I have hepatitis b I make a test for hepatitis B and my results are HBsAg 19.30 is this a hight or low virus in my blood ?I'm told that I have hepatitis b I make a test for hepatitis B and my results are HBsAg 19.30 is this a hight or low virus in my blood ?"
"How long from exposure to HBV could I pass it on","https://patient.info/forums/discuss/how-long-from-exposure-to-hbv-could-i-pass-it-on-630657","Hi, does anyone know on average how long it would take following exposure to HBV to become contagious and risk passing the virus on?thanks "
"I have Just Finished 16 weeks of Treatment On A Combo of Drugs For Hep C","https://patient.info/forums/discuss/i-have-just-finished-16-weeks-of-treatment-on-a-combo-of-drugs-for-hep-c-625656","Hi everyone,?woo-Hoo? yesterday I finished my 16 weeks treatment for Hep C. I was on a combo treatment and it had to be taken 6.30 in the morning and 5 of an evening but I have cleared it (Happy Dance) I still have to go for a 12 week blood test then another in a year to make sure I have properly cleared it for good but for now I have and I'm so happy as I did start with a viral load of 8million + hence the longer treatment. I hope everyone gets the meds they deserve and get well. Stay warm and well everyone and remember there is hope.Hi everyone,?woo-Hoo? yesterday I finished my 16 weeks treatment for Hep C. I was on a combo treatment and it had to be taken 6.30 in the morning and 5 of an evening but I have cleared it (Happy Dance) I still have to go for a 12 week blood test then another in a year to make sure I have properly cleared it for good but for now I have and I'm so happy as I did start with a viral load of 8million + hence the longer treatment. I hope everyone gets the meds they deserve and get well. Stay warm and well everyone and remember there is hope."
"I have HBsAg positive and HBV DNA with 647507 IU/mL. Am I in acute or in chronic stage of Hepatitis","https://patient.info/forums/discuss/i-have-hbsag-positive-and-hbv-dna-with-647507-iu-ml-am-i-in-acute-or-in-chronic-stage-of-hepatitis-622086","What to do if you HBsAg positive and HBV DNA quantitative results with 675071 IU/ml? Do I need to consult a doctor? Am I in acute of chronic stage? Someone suggested me to take Tenofovir Disoproxil tables to control it. Will this be helpful? Please help."
"HBS Ag positive and HBV DNA undetected. what shoud i do?","https://patient.info/forums/discuss/hbs-ag-positive-and-hbv-dna-undetected-what-shoud-i-do--621265","I am 30 years old and HBS Ag Positive. i is identified about 8 years ago. 6 Nov 2017 i tested HBV DNA is undetected , SGPT 96 . i am taking medicine from last 4 years as doctor advised. is it eve possible to make HBS Ag negative and take Vaccine.?"
"Should i need treatment","https://patient.info/forums/discuss/should-i-need-treatment-620583","HBV DNA 4433HBEAG negativeLFT normalultrasound normalFibroscan 6.3 "
"Chronic active hepatitis in my youth","https://patient.info/forums/discuss/chronic-active-hepatitis-in-my-youth-584578","hi, I need some advice, I am a 50yr old woman, when I was 13 I was diagnosed with TB, I was successfully treated but my mother was still concerned about my ill health, in 1984 after a routine blood test at Heath hospital I was called in for further medical investigations as a inpatient, I remember doctors calling me the mystery patient on the ward, after a month in hospital & a whole load of various tests the doctors introduced me to a liver specialist who asked for a liver biopsy, that confirmed I was suffering from chronic active hepatitis, I was put on steroid prednisone treatment for 5yrs, then azathioprine was added to the steroids for another 6/7 yrs, my medication was slowly reduced in the late 90s & I was told my illness was clear & I was discharged from the liver clinic.Over the yrs I have regular blood tests, liver function tests at the gp's, i have been told my bilirubin is high & white blood platelets are low but it's normal for me, I been diagnosed with under active thyroid & vitamin d deficiency through the blood tests.in the last 5/6yrs the discomfort/pain in my upper right side has increased, sometimes it's so bad it hurts even to breath & wakes me up in the night, doctor has sent me for a ultrasound a few yrs ago with a suspicion of gallbladder, my bowel was clear but the radiographer did mention my liver was looking a bit ""furry"", my gp referred me to the urology clinic & I was seen by a nurse at the Heath hospital a couple of times, the nurse had some blood tests done & informed me that nothing was showing up in blood tests, I explained to the nurse that originally in 1984 the blood tests weren't showing anything sinister either, the nurse told me that she could only see my medical history as far back as 2003, she didn't do a physical exam, the consultant came into the room, asked the nurse a few things & I was discharged from the clinic.since then I have been coping with the pain, I have small round dark bruising on my arms & legs, sometimes on my stomach too, the pain travels up to my right breast & around to my upper back but affects my whole right rib cage.i feel like a total hypochondriac going to the doctors trying to explain my symptoms, not sure how to proceed with this, if anyone has any ideas I'd be very grateful, does liver damage always show up in liver function tests? The last ultrasound I had was inconclusive as I was told the bladder was in the way.thanks in advance"
"Hepatitis B","https://patient.info/forums/discuss/hepatitis-b-596850","I am currently infected with HBV with high viral load = 36,350 IU/ml. CAn anyone tell what's this? And what should I do with it? I am currently infected with HBV with high viral load = 36,350 IU/ml. CAn anyone tell what's this? And what should I do with it? "
"Hepatitis B","https://patient.info/forums/discuss/hepatitis-b-590214","hi, I was diagnosed with hep b carrier. My Alt level is 91 and viral load is 2807iu/ml.. Even it shows Hep b eAg negative and also I don't have have any symptom like nausea,vomiting,anorexia etc. I am confused about my health condition. Is it acute, chronic stage or something else?hi, I was diagnosed with hep b carrier. My Alt level is 91 and viral load is 2807iu/ml.. Even it shows Hep b eAg negative and also I don't have have any symptom like nausea,vomiting,anorexia etc. I am confused about my health condition. Is it acute, chronic stage or something else?"
"Just diagnosed with AIH","https://patient.info/forums/discuss/just-diagnosed-with-aih-569120","Hi! I was just diagnosed with autoimune hepatatis a few days ago at 37 years old. I was given 40mg of Prednisone daily and I just feel lost with lots of doubts. Can I live the rest of my life with this condition? Please share your experiences.Thanks"
"i need help!! does anyone else feel like i do?! HCV~","https://patient.info/forums/discuss/i-need-help-does-anyone-else-feel-like-i-do-hcv--540397","hello all! i am new to this forum and will try to make this post as brief as possible without leaving out important details. i am a 24 year old female from the united states. i was diagnosed with hepatitis C type 1a when i was nineteen years old. my fiancé and i are ex-addicts, (i actually got HCV from him), but have been clean off of all hard drugs and alcohol for three and a half years. i have had other health problems, including a fibroid, (benign tumor in the uterus), that was the size of a baseball that had to be removed through major surgery about a year and a half ago, and arthritis. i have been sick ever since i contracted HCV, but recently my symptoms have taken a turn for the worse. i FINALLY got to a GI doctor after years of issues, as the healthcare system in california is awful, and he is ordering a colonoscopy to start and gallbladder functioning tests after that. unfortunately, the beginning of the tests is over a month away still. my question is, does anyone have these symptoms, and if so is it related to your HCV or something else? (my OBGYN thinks i have IBS, GI thinks it is something worse. but i know that some of these symptoms also fit HCV symptoms). my symptoms up until a few months ago for the GI aspect of things was acid reflux, (which i have been diagnosed with and take medicine for), moderate to severe nausea, (which i also take medicine for, promethazine, which used to help but now just makes me dead tired and need to fall asleep right then and there), frequent bowel movements, and odd pains when i'm hungry. as of a few months ago, my symptoms escalated. i am now so ill that i call in to work constantly and even miss classes at school. i have severe pain all over my abdomen, and depending on where it is at it feels different. i have burning pains in my lower right belly area, burning and stabbing pains in the gallbladder area, horrible pain and cramping in my stomach, and bowel discomfort. all are very painful. i can only eat healthy foods or liquidy foods, and even those backfire and leave me nauseous and in pain. i also have diarrhea many times a day, and am running to the toilet often. my nausea is not always accompanied by vomiting, but sometimes it is, and last night actually i threw up seven times. also, TMI, but my bowel movements also are wrong in color. they can either be pale, (not as common for me), or orange-ish, (which happens most of the time and is not due to orange or red colored foods). i am incredibly weak, exhausted, constantly in a brain fog. i also suffer from muscle spasms and muscle and joint pain. i'm sure i'm leaving things out because i am suffering from so many symptoms it is ridiculous. on top of it all i recently slumped into a deep depression because i have been sick for so long. first it was just the HCV, then the fibroid and HCV, and now i don't know what to think. cancer runs in my family and my father is a survivor of both prostate and colo-rectal cancer, (he has an ostomy bag). i feel like i am so young to be having all these issues. it really is ruining my quality of life and i'm in a bit of a pickle because i am too sick to work but cannot afford to stop working. i am desperate for answers as the pain is excruciating and i feel like there is no one else out there with these problems. that coupled with the fact that i don't know if this is due to just HCV or something much worse really scares me. also, i am currently being submitted for HCV treatment, but am using medical marijuana as a way to ease my stomach pain, and here in the US you cannot use any form of marijuana and get treatment. but the pain is so bad i feel i need it. (i am clean from everything but the medical marijuana and am not a cigarette smoker anymore either). sorry this was so long winded. thank you in advance to anyone who reads or responds ? hello all! i am new to this forum and will try to make this post as brief as possible without leaving out important details. i am a 24 year old female from the united states. i was diagnosed with hepatitis C type 1a when i was nineteen years old. my fiancé and i are ex-addicts, (i actually got HCV from him), but have been clean off of all hard drugs and alcohol for three and a half years. i have had other health problems, including a fibroid, (benign tumor in the uterus), that was the size of a baseball that had to be removed through major surgery about a year and a half ago, and arthritis. i have been sick ever since i contracted HCV, but recently my symptoms have taken a turn for the worse. i FINALLY got to a GI doctor after years of issues, as the healthcare system in california is awful, and he is ordering a colonoscopy to start and gallbladder functioning tests after that. unfortunately, the beginning of the tests is over a month away still. my question is, does anyone have these symptoms, and if so is it related to your HCV or something else? (my OBGYN thinks i have IBS, GI thinks it is something worse. but i know that some of these symptoms also fit HCV symptoms). my symptoms up until a few months ago for the GI aspect of things was acid reflux, (which i have been diagnosed with and take medicine for), moderate to severe nausea, (which i also take medicine for, promethazine, which used to help but now just makes me dead tired and need to fall asleep right then and there), frequent bowel movements, and odd pains when i'm hungry. as of a few months ago, my symptoms escalated. i am now so ill that i call in to work constantly and even miss classes at school. i have severe pain all over my abdomen, and depending on where it is at it feels different. i have burning pains in my lower right belly area, burning and stabbing pains in the gallbladder area, horrible pain and cramping in my stomach, and bowel discomfort. all are very painful. i can only eat healthy foods or liquidy foods, and even those backfire and leave me nauseous and in pain. i also have diarrhea many times a day, and am running to the toilet often. my nausea is not always accompanied by vomiting, but sometimes it is, and last night actually i threw up seven times. also, TMI, but my bowel movements also are wrong in color. they can either be pale, (not as common for me), or orange-ish, (which happens most of the time and is not due to orange or red colored foods). i am incredibly weak, exhausted, constantly in a brain fog. i also suffer from muscle spasms and muscle and joint pain. i'm sure i'm leaving things out because i am suffering from so many symptoms it is ridiculous. on top of it all i recently slumped into a deep depression because i have been sick for so long. first it was just the HCV, then the fibroid and HCV, and now i don't know what to think. cancer runs in my family and my father is a survivor of both prostate and colo-rectal cancer, (he has an ostomy bag). i feel like i am so young to be having all these issues. it really is ruining my quality of life and i'm in a bit of a pickle because i am too sick to work but cannot afford to stop working. i am desperate for answers as the pain is excruciating and i feel like there is no one else out there with these problems. that coupled with the fact that i don't know if this is due to just HCV or something much worse really scares me. also, i am currently being submitted for HCV treatment, but am using medical marijuana as a way to ease my stomach pain, and here in the US you cannot use any form of marijuana and get treatment. but the pain is so bad i feel i need it. (i am clean from everything but the medical marijuana and am not a cigarette smoker anymore either). sorry this was so long winded. thank you in advance to anyone who reads or responds ? "
"My wife died due to Autoimmune Hepatitis","https://patient.info/forums/discuss/my-wife-died-due-to-autoimmune-hepatitis-22386",":cry: This is about my wife Valerie who sadly passed away suddenly after a liver biopsy which went wrong and she basically bled to death.She became very ill in Dec 2008 and was admitted to hosp.through a & e and was diagnosed with Septicaemia and e-coli,she was treated with drugs and sent home.About 4 weeks later she developed painless jaundice .She had many blood tests with very unusual results but the results of one test were missed.She had ct.mri,endoscopic investigations as the consultant was looking for a tumor , none was found,the search should then have been widened .Valerie became worse.At the end she became extremely bloated and after seeing a registrar was admitted immediately to have her tummy drained and a liver biopsy, but it was to late.Because the blood test result in Jan was missed her liver had become to damaged with Cirrhosis.The Liver biopsy should have been carried out through a vein and not through the wall of the liver.I am at present awaiting the results of a hospital enquiry which should be completed soon>"
"Can chronic Hepatitis B ever clear from one's DNA?","https://patient.info/forums/discuss/can-chronic-hepatitis-b-ever-clear-from-one-s-dna--40668","Hi. I am 44. Last year in September after being ill for 6 weeks ( doctor's failed to diagnose the correct problem.....) I was finally diagnosed as having Hepatitis B. I live in Spain but am British. I wa told that it was now chronic and therefore I have it in my DNA. Had they diagnosed sooner ( I went to the doctor when every joint in my body became very painful after I had a high fever with major pain similar I guess to severe rheumatism) could they have given me treatment to clear the acute Hepatitis and it would not have become chronic? Now that it is chronic - is it ever possible to clear from one's system after time and without medication? I have been given very very little information here from a decidedly ""frosty"" specialist. I would also like to know if this can affect my ability to have children ie if I ever do then they can be vaccinated against this being transmitted? Any advice and support will be very much appreciated. I feel pretty scared and alone with this although my family, close friends and partner have been very supportive. It is hard for anyone to understand who doesn't have the same thing. I would like to hear from people whi may have been through or are still going through the same thing?"
"Can autoimmune hepatitis go away without treatment? Should I be concerned anymore?","https://patient.info/forums/discuss/can-autoimmune-hepatitis-go-away-without-treatment-should-i-be-concerned-anymore--511526","Female, mid 20's. In late March I developed horrible upper right and lower sternum abdominal pains. At first I thought it was gas pains. However, I noticed the pains were not getting better and the pains worse. It hurt to breath. The pains would go and come throughout the day and got worse at night. I had this issue for maybe 3-4 days before going to the hospital. Also, the same day BEFORE those abdominal pains started I developed a rash on my arms and feet, a persistent cough (asthmatic) and was passing dark urine. Eventually the abdominal pains had gotten so bad I was sweating, having chills/ tremors, and looked very sickly (skin got darker). My ribs felt like they were compressing something that was combusting at the same time. It hurt like hell!! When I got to the hospital I was given an ultrasound.Kidneys normal, liver normal, pancreas normal, gallbladder normal. I was given a blood workup. Viral hEpatatis A-C negative, STD negative, and HIV negative. However my LFT test came back as ""a bit elevated"" and had ""non viral hepatitis"" as well as ""mild jaundice"". I was kept overnight and was given a autoimmune test. It came back ANA negative, Mitchondira Negative, but Smooth muscle antibody positive with 1:40 titer. I was discharged from the hospital because my pains had eased from initial arrival and was stable. My LFT test was (AlK Phos 264, ALT: 89, AST: 174, ESR: 74) upon discharge. I followed up with a different doctor for a 2nd opinion about 3-4 weeks later because the hospital wouldn't answe my questions. As of April 17th my liver function returned to normal and I am no longer testing positive for that Smooth muscle antibody test. It is now undectable. Leading my new doctor to believe I don't have that disease. As happy as I am to hear everything has mostly gone back to normal except my ESR which still slightly elevated but decreased. (Alk Phos 108, ALT: 22, AST 32, ESR: 32) I'm still having upper right abdominal discomfort. It's not as bad as it was the first time, but I'm still having some mild discomfort. Why? I told my doctor about it but he didn't seem worried. I don't respond to pain when he feels around. I can't tell him where the pain is specifically either because it's a dull discomfort. I can't pin point it. I was never diagnosed with it as I never had a liver biopsy. My liver function returned to normal before I could. It was just a working diagnosis the hospital gave me because they didn't know why it was elevated, but the GI team said a UTI can sometimes cause an elevated liver enzyme. Yet never treated me for the UTI to see if it would make a difference. It was told to just check back in 1-3 months to make sure everything is ok and that o probably caught some kind of virus that's not hepatitis. What virus could cause that? I'm hEpatatis A-C negative. I was vaccinated for A. "
"Help! Love One Diagnosed with Autoimmune Hepatitis","https://patient.info/forums/discuss/help-love-one-diagnosed-with-autoimmune-hepatitis-548593","I'm not sure where to begin. All I know is my cousin (who is like a sister) was diagnosed with Autoimmune Hepatitis a month ago. I'm trying to get a better understanding of the condition so I can know what she is going through. What should she and I expect?I'm not sure where to begin. All I know is my cousin (who is like a sister) was diagnosed with Autoimmune Hepatitis a month ago. I'm trying to get a better understanding of the condition so I can know what she is going through. What should she and I expect?"
